Date,Symbol,Open,High,Low,Close,Volume
2020-01-02,ACB,6731.130131652049,6790.17529296875,6701.607550993699,6790.17529296875,3593162
2020-01-02,BID,26527.79356047799,27219.8233776287,26470.12457001842,27046.81640625,1496500
2020-01-02,CTG,9902.445536336389,10305.17641094802,9878.755371334286,10186.7255859375,9069367
2020-01-02,EIB,11026.07203095882,11544.94577179295,11026.07203095882,11480.0869140625,3539380
2020-01-02,FPT,22916.10879618779,23191.25910177634,22798.18644251179,23034.029296875,2164345
2020-01-02,GAS,63633.96998022999,64652.65728498155,63633.96998022999,64245.1796875,178086
2020-01-02,HDB,5593.339276865481,5654.357421875,5522.151288272525,5654.357421875,10533914
2020-01-02,HPG,8453.48046875,8633.341796875,8399.5224609375,8633.341796875,11765258
2020-01-02,KDH,15730.0068359375,15759.57421875,15552.6005859375,15670.87109375,1341023
2020-01-02,MBB,6140.125939711085,6242.951015256486,6110.747346698114,6228.26171875,9266237
2020-01-02,POW,9663.865234375,10000.0,9621.8486328125,10000.0,1867429
2020-01-02,REE,19568.58756728508,20107.66774364922,19460.7726369187,19918.990234375,1647089
2020-01-02,SAB,97746.06194196429,97746.06194196429,96031.21875,96031.21875,147200
2020-01-02,SHB,2359.636791919956,2432.240966796875,2359.636791919956,2432.240966796875,13172204
2020-01-02,TCB,10778.70721589417,10916.01558807116,10755.822487198,10893.130859375,2820080
2020-01-02,TPB,6544.74326305903,6947.974089974905,6513.725709351474,6606.77880859375,376401
2020-01-02,VCB,39747.17594753314,40275.96074291075,39526.8466873252,40011.56640625,870270
2020-01-02,VIC,51066.671875,51111.1171875,50666.671875,51111.1171875,990628
2020-01-03,ACB,6790.17529296875,6849.220454285452,6760.6527123104,6790.17529296875,3261153
2020-01-03,BID,27306.32792068691,27392.83044084832,26931.478515625,26931.478515625,1035726
2020-01-03,CTG,10305.17633862299,10352.55666829466,10068.27565547666,10091.9658203125,7565383
2020-01-03,EIB,11415.22716956397,11480.08698737211,11188.2197265625,11188.2197265625,342673
2020-01-03,FPT,23151.95205307479,23230.56695689227,22562.34398042134,22640.95703125,4942819
2020-01-03,GAS,64245.17804389769,65467.60411611635,64245.17804389769,64381.00390625,276069
2020-01-03,HDB,5644.187706071636,5644.187706071636,5572.999715867039,5603.5087890625,6024387
2020-01-03,HPG,8705.2861328125,8759.2451171875,8651.328125,8687.30078125,21772915
2020-01-03,KDH,15670.87109375,15730.0068359375,15493.4658203125,15611.736328125,598571
2020-01-03,MBB,6301.708852251839,6316.398150275736,6228.262362132354,6242.95166015625,11305525
2020-01-03,POW,10000.0,10084.033203125,9789.916015625,9831.9326171875,1482036
2020-01-03,REE,19918.99019156644,19972.8967358784,19676.404296875,19676.404296875,1234498
2020-01-03,SAB,96031.21883348175,97317.35122857302,96031.21883348175,96288.4453125,35180
2020-01-03,SHB,2432.240891375538,2432.240891375538,2359.63671875,2359.63671875,6895108
2020-01-03,TCB,10938.90020480972,10961.78493327167,10824.4765625,10824.4765625,1513400
2020-01-03,TPB,6606.779390408476,6761.868048843089,6606.779390408476,6668.81494140625,286870
2020-01-03,VCB,40320.02553668982,40452.22464306532,39614.9765625,39614.9765625,1207844
2020-01-03,VIC,51111.1171875,51244.44921875,50800.00390625,51244.44921875,560114
2020-01-06,ACB,6790.174950519103,6790.174950519103,6642.5625,6642.5625,3973068
2020-01-06,BID,26931.4779140435,26931.4779140435,26412.455078125,26412.455078125,1362510
2020-01-06,CTG,10044.58575363169,10281.48644298063,9997.205422719484,10115.65625,6620064
2020-01-06,EIB,11090.93081552513,11447.65692984814,11090.93081552513,11350.3681640625,85118
2020-01-06,FPT,22444.42073159463,22640.95613032904,22326.49838056074,22405.11328125,2634859
2020-01-06,GAS,65671.33948497134,66554.20085526917,65331.77484679841,66418.375,543480
2020-01-06,HDB,5593.339645933034,5593.339645933034,5450.963659352669,5491.642578125,15270456
2020-01-06,HPG,8633.341796875,8723.2724609375,8579.3837890625,8633.341796875,14931115
2020-01-06,KDH,15582.16796875,15670.87109375,15375.1943359375,15670.87109375,540553
2020-01-06,MBB,6213.573110503057,6228.262408636635,6154.81591796875,6154.81591796875,8485959
2020-01-06,POW,9789.916015625,9831.9326171875,9537.8154296875,9537.8154296875,2456955
2020-01-06,REE,19568.58664365882,19945.94164439632,19460.77171838125,19649.44921875,864304
2020-01-06,SAB,95602.51570878016,96245.58195794236,95388.16029239276,95945.484375,667700
2020-01-06,SHB,2359.636804427762,2395.93889205865,2323.334716796875,2323.334716796875,5566358
2020-01-06,TCB,10710.05345885304,10710.05345885304,10549.8603515625,10549.8603515625,2325980
2020-01-06,TPB,6637.796985010982,6637.796985010982,6513.725890491258,6560.25244140625,470474
2020-01-06,VCB,39306.51637936725,39438.71548314569,38557.40234375,38557.40234375,1982797
2020-01-06,VIC,51111.1171875,51111.1171875,50844.44921875,50888.89453125,679296
2020-01-07,ACB,6642.5625,6701.607213010798,6642.5625,6642.5625,3246623
2020-01-07,BID,26412.45566811284,26931.478515625,26066.44172419535,26931.478515625,903589
2020-01-07,CTG,10234.10599774208,10352.55682369937,10163.03550216771,10281.486328125,8879516
2020-01-07,EIB,11350.36838567874,11447.65715336395,11090.93103207584,11317.9384765625,713605
2020-01-07,FPT,22523.03445417992,22837.4921875,22405.11210931414,22837.4921875,2020780
2020-01-07,GAS,66350.46307048536,66350.46307048536,65399.68875825031,65942.9921875,180027
2020-01-07,HDB,5491.642631309733,5491.642631309733,5410.284792977148,5430.6240234375,11838143
2020-01-07,HPG,8669.314453125,8705.2861328125,8489.453125,8525.4248046875,14931559
2020-01-07,KDH,15611.736328125,15670.87109375,15434.330078125,15552.6005859375,217379
2020-01-07,MBB,6169.5048828125,6213.572774832589,6125.43699079241,6169.5048828125,8729589
2020-01-07,POW,9579.83203125,9621.8486328125,9411.7646484375,9453.78125,2253810
2020-01-07,REE,19676.4048853583,19865.08239987001,19622.49649792329,19757.265625,867156
2020-01-07,SAB,95431.0236328125,96417.05846819196,95431.0236328125,96031.21875,407160
